arch,input_shape,framework,hardware,mean,std
mobilenet_v3_small,"(32, 32)",pytorch,cpu,16.53,0.4
mobilenet_v3_small,"(32, 32)",pytorch,gpu,4.48,0.28
mobilenet_v3_small_r,"(32, 32)",pytorch,cpu,12.36,0.34
mobilenet_v3_small_r,"(32, 32)",pytorch,gpu,4.54,0.17
mobilenet_v3_large,"(32, 32)",pytorch,cpu,28.63,0.59
mobilenet_v3_large,"(32, 32)",pytorch,gpu,5.2,0.24
mobilenet_v3_large_r,"(32, 32)",pytorch,cpu,22.91,0.65
mobilenet_v3_large_r,"(32, 32)",pytorch,gpu,5.72,0.19
vgg16_bn_r,"(32, 32)",pytorch,cpu,160.66,1.89
vgg16_bn_r,"(32, 32)",pytorch,gpu,9.2,1.54
resnet31,"(32, 32)",pytorch,cpu,,
resnet31,"(32, 32)",pytorch,gpu,25.1,0.94
magc_resnet31,"(32, 32)",pytorch,cpu,,
magc_resnet31,"(32, 32)",pytorch,gpu,25.82,0.43
mobilenet_v3_small,"(32, 32)",tensorflow,cpu,85.35,1.06
mobilenet_v3_small,"(32, 32)",tensorflow,gpu,30.61,0.54
mobilenet_v3_small_r,"(32, 32)",tensorflow,cpu,243.89,2.04
mobilenet_v3_small_r,"(32, 32)",tensorflow,gpu,28.19,0.67
mobilenet_v3_large,"(32, 32)",tensorflow,cpu,184.7,1.63
mobilenet_v3_large,"(32, 32)",tensorflow,gpu,34.59,0.73
mobilenet_v3_large_r,"(32, 32)",tensorflow,cpu,437.52,4.55
mobilenet_v3_large_r,"(32, 32)",tensorflow,gpu,32.59,0.71
resnet18,"(32, 32)",tensorflow,cpu,27.96,0.43
resnet18,"(32, 32)",tensorflow,gpu,12.35,0.39
vgg16_bn_r,"(32, 32)",tensorflow,cpu,182.68,18.75
vgg16_bn_r,"(32, 32)",tensorflow,gpu,9.04,1.1
resnet31,"(32, 32)",tensorflow,cpu,,
resnet31,"(32, 32)",tensorflow,gpu,28.35,0.84
magc_resnet31,"(32, 32)",tensorflow,cpu,,
magc_resnet31,"(32, 32)",tensorflow,gpu,32.71,2.66
